country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
France,1910,1.369,4.184,,0.0,,0.0,,,,,,,,,,,,,,,,,,309.879,7682.162,,,,,,,,,,,,,,,,,,,,,,,,,194824624000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,40337510.0,,,,,,,,,,,,,,,,,,,,,,
France,1911,2.318,7.184,,0.0,,0.0,,,,,,,,,,,,,,,,,,317.063,7883.852,,,,,,,,,,,,,,,,,,,,,,,,,213970260000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,40216750.0,,,,,,,,,,,,,,,,,,,,,,
France,1912,4.874,15.453,,0.0,,0.0,,,,,,,,,,,,,,,,,,332.516,8304.672,,,,,,,,,,,,,,,,,,,,,,,,,231651759000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,40039650.0,,,,,,,,,,,,,,,,,,,,,,
France,1913,-0.778,-2.587,,0.0,,0.64,,,,,,,,,,,,,,,,,,329.929,8288.321,,,,,,,,,,,,,,,,,,,,,,,,,230326965000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64,16.069,,,,,,,,,,,39806486.0,,,,,,,,,,,,,,,,,,,,,,
France,1914,-32.755,-108.069,,0.0,-100.0,-0.64,,,,,,,,,,,,,,,,,,221.86,5606.119,,,,,,,,,,,,,,,,,,,,,,,,,213933208000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,39574676.0,,,,,,,,,,,,,,,,,,,,,,
France,1915,-29.322,-65.055,,0.0,,0.0,,,,,,,,,,,,,,,,,,156.806,3985.48,,,,,,,,,,,,,,,,,,,,,,,,,209570137000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,39344212.0,,,,,,,,,,,,,,,,,,,,,,
France,1916,9.042,14.178,,0.0,,0.0,,,,,,,,,,,,,,,,,,170.984,4371.304,,,,,,,,,,,,,,,,,,,,,,,,,220159680000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,39115087.0,,,,,,,,,,,,,,,,,,,,,,
France,1917,35.467,60.642,,0.0,,0.0,,,,,,,,,,,,,,,,,,231.626,5956.349,,,,,,,,,,,,,,,,,,,,,,,,,186539424000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,38887294.0,,,,,,,,,,,,,,,,,,,,,,
France,1918,-9.56,-22.144,,0.0,,0.605,,,,,,,,,,,,,,,,,,209.483,5416.879,,,,,,,,,,,,,,,,,,,,,,,,,147191898000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.605,15.638,,,,,,,,,,,38672226.0,,,,,,,,,,,,,,,,,,,,,,
France,1919,-14.18,-29.705,,0.0,-7.692,-0.047,,,,,,,,,,,,,,,,,,179.778,4663.455,,,,,,,,,,,,,,,,,,,,,,,,,173414700000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.558,14.481,,,,,,,,,,,38550359.0,,,,,,,,,,,,,,,,,,,,,,
France,1920,12.638,22.72,,0.0,14.583,0.081,,,,,,,,,,,,,,,,,,202.498,5256.709,,,,,,,,,,,,,,,,,,,,,,,,,200616000000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64,16.605,,,,,,,,,,,38521777.0,,,,,,,,,,,,,,,,,,,,,,
France,1921,15.223,30.827,,0.0,1.818,0.012,,,,,,,,,,,,,,,,,,233.325,6046.781,,,,,,,,,,,,,,,,,,,,,,,,,192315240000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.651,16.878,,,,,,,,,,,38586564.0,,,,,,,,,,,,,,,,,,,,,,
France,1922,10.271,23.965,,0.0,25.0,0.163,,,,,,,,,,,,,,,,,,257.29,6640.631,,,,,,,,,,,,,,,,,,,,,,,,,226822680000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.814,21.012,,,,,,,,,,,38744811.0,,,,,,,,,,,,,,,,,,,,,,
France,1923,20.886,53.739,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,311.029,7975.79,,,,,,,,,,,,,,,,,,,,,,,,,238641920000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.814,20.876,,,,,,,,,,,38996611.0,,,,,,,,,,,,,,,,,,,,,,
France,1924,16.728,52.029,,0.0,5.714,0.047,,,,,,,,,,,,,,,,,,363.058,9249.873,,,,,,,,,,,,,,,,,,,,,,,,,268504910000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.861,21.927,,,,,,,,,,,39250046.0,,,,,,,,,,,,,,,,,,,,,,
France,1925,6.944,25.209,,0.0,-12.162,-0.105,,,,,,,,,,,,,,,,,,388.267,9828.278,,,,,,,,,,,,,,,,,,,,,,,,,269691010000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.756,19.136,,,,,,,,,,,39505129.0,,,,,,,,,,,,,,,,,,,,,,
France,1926,9.091,35.298,,0.0,3.077,0.023,,,,,,,,,,,,,,,,,,423.565,10652.547,,,,,,,,,,,,,,,,,,,,,,,,,276812510000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.779,19.597,,,,,,,,,,,39761869.0,,,,,,,,,,,,,,,,,,,,,,
France,1927,0.793,3.359,,0.0,8.955,0.07,,,,,,,,,,,,,,,,,,426.924,10667.696,,,,,,,,,,,,,,,,,,,,,,,,,271063740000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.849,21.214,,,,,,,,,,,40020278.0,,,,,,,,,,,,,,,,,,,,,,
France,1928,-0.825,-3.52,,0.0,1.37,0.012,,,,,,,,,,,,,,,,,,423.404,10511.423,,,,,,,,,,,,,,,,,,,,,,,,,289936150000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.861,21.366,,,,,,,,,,,40280367.0,,,,,,,,,,,,,,,,,,,,,,
France,1929,4.786,20.266,,0.0,1.351,0.012,,,,,,,,,,,,,,,,,,443.67,10961.027,,,,,,,,,,,,,,,,,,,,,,,,,309554840000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.872,21.549,,,,,,,,,,,40477066.0,,,,,,,,,,,,,,,,,,,,,,
France,1930,0.175,0.777,,0.0,1.333,0.012,,,,,,,,,,,,,,,,,,444.447,10944.255,,,,,,,,,,,,,,,,,,,,,,,,,300590640000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.884,21.765,,,,,,,,,,,40610060.0,,,,,,,,,,,,,,,,,,,,,,
France,1931,-7.259,-32.264,,0.0,-2.632,-0.023,,,,,,,,,,,,,,,,,,412.182,10132.553,,,,,,,,,,,,,,,,,,,,,,,,,282596860000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.861,21.156,,,,,,,,,,,40679030.0,,,,,,,,,,,,,,,,,,,,,,
France,1932,-7.42,-30.584,,0.0,1.351,0.012,,,,,,,,,,,,,,,,,,381.598,9379.645,,,,,,,,,,,,,,,,,,,,,,,,,264178460000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.872,21.44,,,,,,,,,,,40683658.0,,,,,,,,,,,,,,,,,,,,,,
France,1933,1.428,5.448,,0.0,5.333,0.047,,,,,,,,,,,,,,,,,,387.046,9527.616,,,,,,,,,,,,,,,,,,,,,,,,,283050730000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.919,22.617,,,,,,,,,,,40623618.0,,,,,,,,,,,,,,,,,,,,,,
France,1934,1.481,5.733,,0.0,-1.266,-0.012,,,,,,,,,,,,,,,,,,392.779,9683.028,,,,,,,,,,,,,,,,,,,,,,,,,280309900000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.907,22.363,,,,,,,,,,,40563668.0,,,,,,,,,,,,,,,,,,,,,,
France,1935,-3.091,-12.141,,0.0,-2.564,-0.023,,,,,,,,,,,,,,,,,,380.638,9397.577,,,,,,,,,,,,,,,,,,,,,,,,,273155220000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.884,21.822,,,,,,,,,,,40503806.0,,,,,,,,,,,,,,,,,,,,,,
France,1936,-2.059,-7.838,,0.0,-7.895,-0.07,,,,,,,,,,,,,,,,,,372.799,9217.664,,,,,,,,,,,,,,,,,,,,,,,,,283521150000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.814,20.129,,,,,,,,,,,40444032.0,,,,,,,,,,,,,,,,,,,,,,
France,1937,-1.824,-6.801,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,365.998,9062.88,,,,,,,,,,,,,,,,,,,,,,,,,299883360000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.814,20.159,,,,,,,,,,,40384347.0,,,,,,,,,,,,,,,,,,,,,,
France,1938,4.852,17.759,,0.0,2.857,0.023,,,,,,,,,,,,,,,,,,383.757,9516.669,,,,,,,,,,,,,,,,,,,,,,,,,298713240000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.837,20.765,,,,,,,,,,,40324749.0,,,,,,,,,,,,,,,,,,,,,,
France,1939,5.663,21.732,,0.0,-2.778,-0.023,,,,,,,,,,,,,,,,,,405.489,10060.163,,,,,,,,,,,,,,,,,,,,,,,,,320116000000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.814,20.198,,,,,,,,,,,40306394.0,,,,,,,,,,,,,,,,,,,,,,
France,1940,-19.231,-77.979,,0.0,-1.429,-0.012,,,,,,,,,,,,,,,,,,327.509,8120.867,,,,,,,,,,,,,,,,,,,,,,,,,264163000000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.802,19.898,,,,,,,,,,,40329369.0,,,,,,,,,,,,,,,,,,,,,,
France,1941,7.02,22.992,,0.0,-15.942,-0.128,,,,,,,,,,,,,,,,,,350.501,8677.113,,,,,,,,,,,,,,,,,,,,,,,,,208850400000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.675,16.699,,,,,,,,,,,40393765.0,,,,,,,,,,,,,,,,,,,,,,
France,1942,-0.025,-0.086,,0.0,12.069,0.081,,,,,,,,,,,,,,,,,,350.415,8652.292,,,,,,,,,,,,,,,,,,,,,,,,,187228800000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.756,18.666,,,,,,,,,,,40499670.0,,,,,,,,,,,,,,,,,,,,,,
France,1943,-3.612,-12.656,,0.0,4.615,0.035,,,,,,,,,,,,,,,,,,337.759,8309.531,,,,,,,,,,,,,,,,,,,,,,,,,177801000000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.791,19.456,,,,,,,,,,,40647177.0,,,,,,,,,,,,,,,,,,,,,,
France,1944,-37.23,-125.746,,0.0,-13.235,-0.105,,,,,,,,,,,,,,,,,,212.013,5197.005,,,,,,,,,,,,,,,,,,,,,,,,,150192900000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.686,16.82,,,,,,,,,,,40795220.0,,,,,,,,,,,,,,,,,,,,,,
France,1945,31.843,67.512,,0.0,-50.847,-0.349,,,,,,,,,,,,,,,,,,279.525,6827.034,,,,,,,,,,,,,,,,,,,,,,,,,162809700000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.337,8.237,,,,,,,,,,,40943803.0,,,,,,,,,,,,,,,,,,,,,,
France,1946,41.065,114.788,,1.177,79.31,0.267,,,,,,,,,,,,,,,,,,394.313,9595.639,,,,,,,,,,,,,,,,,,,,,,,,,247582050000.0,,,,,,,,1.177,28.645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.605,14.717,,,,,,,,,,,41092927.0,,,,,,,,,,,,,,,,,,,,,,
France,1947,-4.025,-15.872,163.636,1.926,-3.846,-0.023,,,,,,,,,,,,,,,,,,378.441,9175.98,,,,,,,,,,,,,,,,,,,,,,,,,268325280000.0,,,,,,,,3.103,75.244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.582,14.1,,,,,,,,,,,41242594.0,,,,,,,,,,,,,,,,,,,,,,
France,1948,-4.502,-17.036,23.448,0.728,4.0,0.023,,,,,,,,,,,,,,,,,,361.405,8731.115,,,,,,,,,,,,,,,,,,,,,,,,,287852220000.0,,,,,,,,3.831,92.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.605,14.61,,,,,,,,,,,41392806.0,,,,,,,,,,,,,,,,,,,,,,
France,1949,17.824,64.418,36.313,1.391,11.538,0.07,,,,,,,,,,,,,,,,,,425.823,10238.676,,,,,,,,,,,,,,,,,,,,,,,,,327028320000.0,,,,,,,,5.222,125.561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.675,16.219,,,,,,,,,,,41589702.0,,,,,,,,,,,,,,,,,,,,,,
France,1950,-0.863,-3.675,7.787,0.407,120.69,0.814,,,,,,,,,,,,,,,,,,422.149,10091.073,,,,,,,,,,,,,,,,,,,,,,,,,351453788000.0,,,,,,,,5.629,134.548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.489,35.585,,,,,,,,,,,41833872.0,,,,,,,,,,,,,,,,,,,,,,
France,1951,4.473,18.881,14.068,0.792,127.344,1.896,,,,,,,,,,,,,,,,,,441.029,10492.903,,,,,,,,,,,,,,,,,,,,,,,,,373113710000.0,,,,,,,,6.421,152.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.384,80.52,,,,,,,,,,,42031196.0,,,,,,,,,,,,,,,,,,,,,,
France,1952,4.403,19.418,-3.167,-0.203,20.275,0.686,,,,,,,,,,,,,,,,,,460.447,10881.264,,,,,,,,,,,,,,,,,,,,,,,,,382998896000.0,,,,,,,,6.217,146.925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.071,96.194,,,,,,,,,,,42315596.0,,,,,,,,,,,,,,,,,,,,,,
France,1953,-4.954,-22.813,-9.811,-0.61,4.857,0.198,,,,,,,,,,,,,,,,,,437.634,10259.945,,,,,,,,,,,,,,,,,,,,,,,,,394064700000.0,,,,,,,,5.607,131.457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.268,100.064,,,,,,,,,,,42654660.0,,,,,,,,,,,,,,,,,,,,,,
France,1954,3.338,14.607,12.595,0.706,37.602,1.605,,,,,,,,,,,,,,,,,,452.241,10511.168,,,,,,,,,,,,,,,,,,,,,,,,,413153816000.0,,,,,,,,6.314,146.742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.873,136.506,,,,,,,,,,,43024816.0,,,,,,,,,,,,,,,,,,,,,,
France,1955,1.829,8.27,7.458,0.471,73.861,4.338,,,,,,,,,,,,,,,,,,460.511,10608.064,,,,,,,,,,,,,,,,,,,,,,,,,436918058000.0,,,,,,,,6.784,156.281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.211,235.218,,,,,,,,,,,43411380.0,,,,,,,,,,,,,,,,,,,,,,
France,1956,-0.153,-0.705,22.082,1.498,43.964,4.489,,,,,,,,,,,,,,,,,,459.806,10495.691,,,,,,,,,,,,,,,,,,,,,,,,,458984646000.0,,,,,,,,8.282,189.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7,335.555,,,,,,,,,,,43808996.0,,,,,,,,,,,,,,,,,,,,,,
France,1957,2.994,13.768,44.186,3.66,11.63,1.71,,,,,,,,,,,,,,,,,,473.574,10709.196,,,,,,,,,,,,,,,,,,,,,,,,,486693408000.0,,,,,,,,11.942,270.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.41,371.087,,,,,,,,,,,44221224.0,,,,,,,,,,,,,,,,,,,,,,
France,1958,1.617,7.656,49.821,5.95,-1.772,-0.291,,,,,,,,,,,,,,,,,,481.23,10775.633,,,,,,,,,,,,,,,,,,,,,,,,,498861258000.0,,,,,,,,17.892,400.633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.119,360.939,,,,,,,,,,,44659052.0,,,,,,,,,,,,,,,,,,,,,,
France,1959,-0.34,-1.635,133.254,23.842,16.739,2.698,,,,,,,,,,,,,,,,,,479.595,10624.978,,,,,,,,,,,,,,,,,,,,,,,,,513138996000.0,,,,,,,,41.734,924.567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.817,416.881,,,,,,,,,,,45138432.0,,,,,,,,,,,,,,,,,,,,,,
France,1960,-2.689,-12.899,-27.026,-11.279,22.188,4.175,,,,,,,,,,,,,,,,,,466.696,10218.175,,,,,,,,,,,,,,,,,,,,,,,,,549318528000.0,,,,,,,,30.455,666.798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.993,503.415,,,,,,,,,,,45673148.0,,,,,,,,,,,,,,,,,,,,,,
France,1961,-5.626,-26.255,40.9,12.456,9.408,2.163,,,,,,,,,,,,,,,,,,440.441,9519.566,,,,,,,,,,,,,,,,,,,,,,,,,579768656000.0,,,,,,,,42.911,927.457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.156,543.708,,,,,,,,,,,46266972.0,,,,,,,,,,,,,,,,,,,,,,
France,1962,-0.025,-0.109,18.204,7.812,9.57,2.407,,,,,,,,,,,,,,,,,,440.332,9387.34,,,,,,,,,,,,,,,,,,,,,,,,,618376451000.0,,,,,,,,50.722,1081.336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.563,587.612,,,,,,,,,,,46907044.0,,,,,,,,,,,,,,,,,,,,,,
France,1963,-8.965,-39.477,2.553,1.295,6.414,1.768,,,,,,,,,,,,,,,,,,400.855,8428.261,,,,,,,,,,,,,,,,,,,,,,,,,650490670000.0,,,,,,,,52.017,1093.696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.331,616.703,,,,,,,,,,,47560824.0,,,,,,,,,,,,,,,,,,,,,,
